Episode;Timeslot;State;Action;Reward;Next_State;Average Packet Delay
1;0;0;108.11235406303246;2.0935735806810665;0;0.0
1;1;0;108.11826570282976;2.09351942607305;1;0.0
1;2;1;89.99973883930545;1.732657959189793;0;0.5
1;3;0;104.7673237441327;2.1235514066207837;0;0.5
1;4;0;105.91691964257294;2.113404402673272;0;0.5
1;5;0;103.23435442821477;2.1368056240579056;1;0.6666666666666666
1;6;1;88.66590258841359;1.7396632008634394;2;0.75
1;7;2;86.23437652889177;1.5839017248091405;1;1.5
1;8;1;97.04983554159237;1.6864485754582421;1;1.75
1;9;1;99.7283711442529;1.665780055995205;0;2.5
1;10;0;103.12494537450745;2.1377388572241256;0;2.5
1;11;0;103.71683884137317;2.1326695164586305;1;2.2
1;12;1;138.7604910416248;1.2851597335714462;1;2.4
1;13;1;149.6780105420431;1.1933778178547745;0;2.8
1;14;0;111.3117669658148;2.063722739199834;0;2.8
1;15;0;114.49686603423713;2.0330333803722027;1;2.5
1;16;1;162.5773345914612;1.12745593636417;0;2.6666666666666665
1;17;0;113.89402356568351;2.038909462997112;1;2.4285714285714284
1;18;1;162.48876002490002;1.1278497101819966;2;2.25
1;19;2;162.68810468841957;0.9602975306538355;2;2.375
1;20;2;162.0892370619069;0.9629654207596512;2;2.5555555555555554
1;21;2;162.98146840746512;0.9589990308173015;2;2.6666666666666665
1;22;2;161.69966777709018;0.9647131332573913;3;2.5
1;23;3;161.17878565715927;0.8837314704408445;2;3.1
1;24;2;161.68881676042167;0.9647619505423395;1;3.6
1;25;1;160.77738670609386;1.135555159054241;1;3.6363636363636362
1;26;1;160.983886844502;1.1346157227165565;1;3.5
1;27;1;159.339731274342;1.1421670119597709;1;3.3846153846153846
1;28;1;159.47726041313607;1.1415291720269292;1;3.2857142857142856
1;29;1;159.94836451565968;1.1393527570528401;1;3.357142857142857
1;30;1;161.43013173247593;1.1325945877396566;1;3.4285714285714284
1;31;1;162.36378891080142;1.1284061455841399;0;3.642857142857143
1;32;0;113.63710551373521;2.0414045096909743;1;3.466666666666667
1;33;1;162.19023800826125;1.1291805359814662;0;3.533333333333333
1;34;0;112.10108664609018;2.056201919832555;1;3.375
1;35;1;159.73163856495688;1.1403523527552504;1;3.4375
1;36;1;159.2649773360287;1.1425141777524253;0;3.5625
1;37;0;113.0206701191425;2.0473679784631873;1;3.411764705882353
1;38;1;162.11096697822504;1.1295348834483252;2;3.2777777777777777
1;39;2;162.3065472252087;0.9619946813211533;3;3.1578947368421053
1;40;3;161.72575784135594;0.8812624544110171;4;3.05
1;41;4;160.39726140639104;0.8372912817433686;5;2.9523809523809526
1;42;5;160.55310142042975;0.803245126909128;6;2.8636363636363638
1;43;6;159.85452627516247;0.7826423621218817;6;2.909090909090909
1;44;6;159.91581164554114;0.7823598632427311;5;3.272727272727273
1;45;5;159.79450245907324;0.8067287867598578;6;3.1739130434782608
1;46;6;161.06515730882592;0.7771038582611824;5;3.5652173913043477
1;47;5;161.55084637690476;0.7987166372700591;5;3.7916666666666665
1;48;5;160.01544582334003;0.8057105959727665;5;3.8333333333333335
1;49;5;159.79246003654006;0.8067382126047831;5;4.08
1;50;5;160.36441083970809;0.8041083966751049;5;4.12
1;51;5;159.42099245572606;0.8084566662358831;4;4.56
1;52;4;159.3577892559446;0.842083198034451;4;4.6
1;53;4;160.10577077102707;0.8386285188350442;4;4.64
1;54;4;160.97493651986295;0.8346563863819669;4;4.68
1;55;4;162.055315726417;0.8297838868320235;3;5.24
1;56;3;163.03158199243884;0.8754444396618988;3;5.5
1;57;3;162.77164460447574;0.8765938630010833;3;5.703703703703703
1;58;3;163.10501374695806;0.8751205239165473;2;6.074074074074074
1;59;2;161.70105879877195;0.9647068757692554;3;5.892857142857143
1;60;3;162.36155476237363;0.8784161022377628;4;5.724137931034483
1;61;4;162.5167209359976;0.827725350703866;5;5.566666666666666
1;62;5;162.30496633596638;0.7953350657476506;5;5.6
1;63;5;161.52480157488034;0.7988340642971569;6;5.451612903225806
1;64;6;162.4868602946875;0.7707153041322365;7;5.3125
1;65;7;162.9007625076132;0.7510223666585507;7;5.454545454545454
1;66;7;162.83567739968794;0.7513103089976261;7;5.484848484848484
1;67;7;162.4063268667418;0.75321663273367;7;5.515151515151516
1;68;7;162.5454133887992;0.7525977897001477;6;5.878787878787879
1;69;6;161.49331330955889;0.7751665667507113;6;5.909090909090909
1;70;6;160.81745550585808;0.7782298114920521;6;5.9393939393939394
1;71;6;159.93356978311746;0.7822780478734213;5;6.333333333333333
1;72;5;159.42165823507113;0.8084535789528545;5;6.363636363636363
1;73;5;159.61779638489296;0.8075452086005954;6;6.205882352941177
1;74;6;161.59114861442194;0.7747254880984453;5;6.647058823529412
1;75;5;161.69214659536146;0.7980803026046852;5;6.676470588235294
1;76;5;162.49322220100422;0.7944965274308913;6;6.514285714285714
1;77;6;162.8711671360136;0.7690104081137472;7;6.361111111111111
1;78;7;162.9411019208336;0.7508440391262958;8;6.216216216216216
1;79;8;162.30314024906986;0.7397876551157998;8;6.243243243243243
1;80;8;161.2499595023662;0.7445202520228775;8;6.27027027027027
1;81;8;160.6245371808413;0.7473633130457134;9;6.131578947368421
1;82;9;160.9573822150172;0.734736154484697;8;6.7105263157894735
1;83;8;160.58699777027985;0.7475347226998226;8;6.7368421052631575
1;84;8;159.14676462212316;0.7541749537834332;8;7.128205128205129
